Table,ID,Negative Values
S0101,S0101_C01_035M,14182
S0101,S0101_C01_036M,14182
S0101,S0101_C02_031E,14182
S0101,S0101_C02_031M,14182
S0101,S0101_C02_032E,14182
S0101,S0101_C02_032M,14182
S0101,S0101_C02_033E,14182
S0101,S0101_C02_033M,14182
S0101,S0101_C02_034E,14182
S0101,S0101_C02_034M,14182
S0101,S0101_C02_035E,14182
S0101,S0101_C02_035M,14182
S0101,S0101_C02_036E,14182
S0101,S0101_C02_036M,14182
S0101,S0101_C03_031E,14182
S0101,S0101_C03_031M,14182
S0101,S0101_C03_032E,14182
S0101,S0101_C03_032M,14182
S0101,S0101_C03_033E,14182
S0101,S0101_C03_033M,14182
S0101,S0101_C03_034E,14182
S0101,S0101_C03_034M,14182
S0101,S0101_C03_035E,14182
S0101,S0101_C03_035M,14182
S0101,S0101_C03_036E,14182
S0101,S0101_C03_036M,14182
S0601,S0601_C01_052M,14182
S0601,S0601_C01_053M,14182
S0601,S0601_C02_052E,14182
S0601,S0601_C02_052M,14182
S0601,S0601_C02_053E,14182
S0601,S0601_C02_053M,14182
S0601,S0601_C03_052E,14182
S0601,S0601_C03_052M,14182
S0601,S0601_C03_053E,14182
S0601,S0601_C03_053M,14182
S0601,S0601_C04_052E,14182
S0601,S0601_C04_052M,14182
S0601,S0601_C04_053E,14182
S0601,S0601_C04_053M,14182
S0701,S0701_C01_056M,14182
S0701,S0701_C02_056E,14182
S0701,S0701_C02_056M,14182
S0701,S0701_C03_056E,14182
S0701,S0701_C03_056M,14182
S0701,S0701_C04_056E,14182
S0701,S0701_C04_056M,14182
S0701,S0701_C05_056E,14182
S0701,S0701_C05_056M,14182
S0801,S0801_C01_052M,14182
S0801,S0801_C01_053M,14182
S0801,S0801_C01_054M,14182
S0801,S0801_C01_055M,14182
S0801,S0801_C01_056M,14182
S0801,S0801_C01_057M,14182
S0801,S0801_C02_052E,14182
S0801,S0801_C02_052M,14182
S0801,S0801_C02_053E,14182
S0801,S0801_C02_053M,14182
S0801,S0801_C02_054E,14182
S0801,S0801_C02_054M,14182
S0801,S0801_C02_055E,14182
S0801,S0801_C02_055M,14182
S0801,S0801_C02_056E,14182
S0801,S0801_C02_056M,14182
S0801,S0801_C02_057E,14182
S0801,S0801_C02_057M,14182
S0801,S0801_C03_052E,14182
S0801,S0801_C03_052M,14182
S0801,S0801_C03_053E,14182
S0801,S0801_C03_053M,14182
S0801,S0801_C03_054E,14182
S0801,S0801_C03_054M,14182
S0801,S0801_C03_055E,14182
S0801,S0801_C03_055M,14182
S0801,S0801_C03_056E,14182
S0801,S0801_C03_056M,14182
S0801,S0801_C03_057E,14182
S0801,S0801_C03_057M,14182
S0802,S0802_C01_098M,14182
S0802,S0802_C01_099M,14182
S0802,S0802_C01_100M,14182
S0802,S0802_C01_101M,14182
S0802,S0802_C02_098E,14182
S0802,S0802_C02_098M,14182
S0802,S0802_C02_099E,14182
S0802,S0802_C02_099M,14182
S0802,S0802_C02_100E,14182
S0802,S0802_C02_100M,14182
S0802,S0802_C02_101E,14182
S0802,S0802_C02_101M,14182
S0802,S0802_C03_098E,14182
S0802,S0802_C03_098M,14182
S0802,S0802_C03_099E,14182
S0802,S0802_C03_099M,14182
S0802,S0802_C03_100E,14182
S0802,S0802_C03_100M,14182
S0802,S0802_C03_101E,14182
S0802,S0802_C03_101M,14182
S0802,S0802_C04_098E,14182
S0802,S0802_C04_098M,14182
S0802,S0802_C04_099E,14182
S0802,S0802_C04_099M,14182
S0802,S0802_C04_100E,14182
S0802,S0802_C04_100M,14182
S0802,S0802_C04_101E,14182
S0802,S0802_C04_101M,14182
S1002,S1002_C01_031M,14182
S1002,S1002_C01_032M,14182
S1002,S1002_C02_029E,14182
S1002,S1002_C02_029M,14182
S1002,S1002_C02_030E,14182
S1002,S1002_C02_030M,14182
S1002,S1002_C02_031E,14182
S1002,S1002_C02_031M,14182
S1002,S1002_C02_032E,14182
S1002,S1002_C02_032M,14182
S1002,S1002_C03_029E,14182
S1002,S1002_C03_029M,14182
S1002,S1002_C03_030E,14182
S1002,S1002_C03_030M,14182
S1002,S1002_C03_031E,14182
S1002,S1002_C03_031M,14182
S1002,S1002_C03_032E,14182
S1002,S1002_C03_032M,14182
S1002,S1002_C04_029E,14182
S1002,S1002_C04_029M,14182
S1002,S1002_C04_030E,14182
S1002,S1002_C04_030M,14182
S1002,S1002_C04_031E,14182
S1002,S1002_C04_031M,14182
S1002,S1002_C04_032E,14182
S1002,S1002_C04_032M,14182
S1101,S1101_C05_003E,14182
S1101,S1101_C05_003M,14182
S1101,S1101_C05_004E,14182
S1101,S1101_C05_004M,14182
S1101,S1101_C05_005E,14182
S1101,S1101_C05_005M,14182
S1201,S1201_C01_031M,14182
S1201,S1201_C02_031E,14182
S1201,S1201_C02_031M,14182
S1201,S1201_C03_031E,14182
S1201,S1201_C03_031M,14182
S1201,S1201_C04_031E,14182
S1201,S1201_C04_031M,14182
S1201,S1201_C05_031E,14182
S1201,S1201_C05_031M,14182
S1201,S1201_C06_031E,14182
S1201,S1201_C06_031M,14182
S1301,S1301_C01_031M,14182
S1301,S1301_C01_032M,14182
S1301,S1301_C02_031E,14182
S1301,S1301_C02_031M,14182
S1301,S1301_C02_032E,14182
S1301,S1301_C02_032M,14182
S1301,S1301_C03_031E,14182
S1301,S1301_C03_031M,14182
S1301,S1301_C03_032E,14182
S1301,S1301_C03_032M,14182
S1301,S1301_C04_031E,14182
S1301,S1301_C04_031M,14182
S1301,S1301_C04_032E,14182
S1301,S1301_C04_032M,14182
S1301,S1301_C05_031E,14182
S1301,S1301_C05_031M,14182
S1301,S1301_C05_032E,14182
S1301,S1301_C05_032M,14182
S1401,S1401_C03_001E,14182
S1401,S1401_C03_001M,14182
S1401,S1401_C03_013E,14182
S1401,S1401_C03_013M,14182
S1401,S1401_C03_015E,14182
S1401,S1401_C03_015M,14182
S1401,S1401_C03_017E,14182
S1401,S1401_C03_017M,14182
S1401,S1401_C03_019E,14182
S1401,S1401_C03_019M,14182
S1401,S1401_C03_021E,14182
S1401,S1401_C03_021M,14182
S1401,S1401_C03_023E,14182
S1401,S1401_C03_023M,14182
S1401,S1401_C03_025E,14182
S1401,S1401_C03_025M,14182
S1401,S1401_C03_027E,14182
S1401,S1401_C03_027M,14182
S1401,S1401_C03_029E,14182
S1401,S1401_C03_029M,14182
S1401,S1401_C03_031E,14182
S1401,S1401_C03_031M,14182
S1401,S1401_C03_033E,14182
S1401,S1401_C03_033M,14182
S1401,S1401_C05_001E,14182
S1401,S1401_C05_001M,14182
S1401,S1401_C05_013E,14182
S1401,S1401_C05_013M,14182
S1401,S1401_C05_015E,14182
S1401,S1401_C05_015M,14182
S1401,S1401_C05_017E,14182
S1401,S1401_C05_017M,14182
S1401,S1401_C05_019E,14182
S1401,S1401_C05_019M,14182
S1401,S1401_C05_021E,14182
S1401,S1401_C05_021M,14182
S1401,S1401_C05_023E,14182
S1401,S1401_C05_023M,14182
S1401,S1401_C05_025E,14182
S1401,S1401_C05_025M,14182
S1401,S1401_C05_027E,14182
S1401,S1401_C05_027M,14182
S1401,S1401_C05_029E,14182
S1401,S1401_C05_029M,14182
S1401,S1401_C05_031E,14182
S1401,S1401_C05_031M,14182
S1401,S1401_C05_033E,14182
S1401,S1401_C05_033M,14182
S1501,S1501_C01_055E,14182
S1501,S1501_C01_055M,14182
S1501,S1501_C01_056E,14182
S1501,S1501_C01_056M,14182
S1501,S1501_C01_057E,14182
S1501,S1501_C01_057M,14182
S1501,S1501_C01_058E,14182
S1501,S1501_C01_058M,14182
S1501,S1501_C03_055E,14182
S1501,S1501_C03_055M,14182
S1501,S1501_C03_056E,14182
S1501,S1501_C03_056M,14182
S1501,S1501_C03_057E,14182
S1501,S1501_C03_057M,14182
S1501,S1501_C03_058E,14182
S1501,S1501_C03_058M,14182
S1501,S1501_C05_055E,14182
S1501,S1501_C05_055M,14182
S1501,S1501_C05_056E,14182
S1501,S1501_C05_056M,14182
S1501,S1501_C05_057E,14182
S1501,S1501_C05_057M,14182
S1501,S1501_C05_058E,14182
S1501,S1501_C05_058M,14182
S1601,S1601_C03_002E,14182
S1601,S1601_C03_002M,14182
S1601,S1601_C03_021E,14182
S1601,S1601_C03_021M,14182
S1601,S1601_C04_002E,14182
S1601,S1601_C04_002M,14182
S1601,S1601_C04_021E,14182
S1601,S1601_C04_021M,14182
S1601,S1601_C05_002E,14182
S1601,S1601_C05_002M,14182
S1601,S1601_C05_021E,14182
S1601,S1601_C05_021M,14182
S1601,S1601_C06_002E,14182
S1601,S1601_C06_002M,14182
S1601,S1601_C06_021E,14182
S1601,S1601_C06_021M,14182
S1701,S1701_C02_038E,14182
S1701,S1701_C02_038M,14182
S1701,S1701_C02_039E,14182
S1701,S1701_C02_039M,14182
S1701,S1701_C02_040E,14182
S1701,S1701_C02_040M,14182
