2022_ID,2022_Label
S0101_C01_001E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION
S0101_C01_002E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!AGE!!UNDER 5 YEARS
S0101_C01_003E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!AGE!!5 TO 9 YEARS
S0101_C01_004E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!AGE!!10 TO 14 YEARS
S0101_C01_005E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!AGE!!15 TO 19 YEARS
S0101_C01_006E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!AGE!!20 TO 24 YEARS
S0101_C01_007E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!AGE!!25 TO 29 YEARS
S0101_C01_008E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!AGE!!30 TO 34 YEARS
S0101_C01_009E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!AGE!!35 TO 39 YEARS
S0101_C01_010E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!AGE!!40 TO 44 YEARS
S0101_C01_011E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!AGE!!45 TO 49 YEARS
S0101_C01_012E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!AGE!!50 TO 54 YEARS
S0101_C01_013E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!AGE!!55 TO 59 YEARS
S0101_C01_014E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!AGE!!60 TO 64 YEARS
S0101_C01_015E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!AGE!!65 TO 69 YEARS
S0101_C01_016E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!AGE!!70 TO 74 YEARS
S0101_C01_017E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!AGE!!75 TO 79 YEARS
S0101_C01_018E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!AGE!!80 TO 84 YEARS
S0101_C01_019E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!AGE!!85 YEARS AND OVER
S0101_C01_020E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!5 TO 14 YEARS
S0101_C01_021E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!15 TO 17 YEARS
S0101_C01_022E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!UNDER 18 YEARS
S0101_C01_023E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!18 TO 24 YEARS
S0101_C01_024E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!15 TO 44 YEARS
S0101_C01_025E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!16 YEARS AND OVER
S0101_C01_026E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!18 YEARS AND OVER
S0101_C01_027E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!21 YEARS AND OVER
S0101_C01_028E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!60 YEARS AND OVER
S0101_C01_029E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!62 YEARS AND OVER
S0101_C01_030E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!65 YEARS AND OVER
S0101_C01_031E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!75 YEARS AND OVER
