Table,ID,Null Values,type,,,,
S0101,S0101_C01_035M,6916,float,,Percent," 7,618 ",
S0101,S0101_C01_036M,6916,float,,Estimate," 6,140 ",
S0101,S0101_C02_031E,6916,int,,Total," 13,758 ","(including both E,M)"
S0101,S0101_C02_031M,6916,int,,,,* 'E' includes both 'Percent' and 'Estimate' 
S0101,S0101_C02_032E,6916,int,,,,* 'M' means margin of error
S0101,S0101_C02_032M,6916,int,,Max null values," 6,916 ",
S0101,S0101_C02_033E,6916,int,,,,
S0101,S0101_C02_033M,6916,int,,,,
S0101,S0101_C02_034E,6916,int,,* This is a representation of merged data for 866 California Zipcodes (2015-2022),,
S0101,S0101_C02_034M,6916,int,,,,
S0101,S0101_C02_035E,6916,int,,,,
S0101,S0101_C02_035M,6916,int,,,,
S0101,S0101_C02_036E,6916,int,,,,
S0101,S0101_C02_036M,6916,int,,,,
S0101,S0101_C03_031E,6916,int,,,,
S0101,S0101_C03_031M,6916,int,,,,
S0101,S0101_C03_032E,6916,int,,,,
S0101,S0101_C03_032M,6916,int,,,,
S0101,S0101_C03_033E,6916,int,,,,
S0101,S0101_C03_033M,6916,int,,,,
S0101,S0101_C03_034E,6916,int,,,,
S0101,S0101_C03_034M,6916,int,,,,
S0101,S0101_C03_035E,6916,int,,,,
S0101,S0101_C03_035M,6916,int,,,,
S0101,S0101_C03_036E,6916,int,,,,
S0101,S0101_C03_036M,6916,int,,,,
S0601,S0601_C01_052M,6916,float,,,,
S0601,S0601_C01_053M,6916,float,,,,
S0601,S0601_C02_052E,6916,int,,,,
S0601,S0601_C02_052M,6916,int,,,,
S0601,S0601_C02_053E,6916,int,,,,
S0601,S0601_C02_053M,6916,int,,,,
S0601,S0601_C03_052E,6916,int,,,,
S0601,S0601_C03_052M,6916,int,,,,
S0601,S0601_C03_053E,6916,int,,,,
S0601,S0601_C03_053M,6916,int,,,,
S0601,S0601_C04_052E,6916,int,,,,
S0601,S0601_C04_052M,6916,int,,,,
S0601,S0601_C04_053E,6916,int,,,,
S0601,S0601_C04_053M,6916,int,,,,
S0701,S0701_C01_056M,6916,float,,,,
S0701,S0701_C02_056E,6916,int,,,,
S0701,S0701_C02_056M,6916,int,,,,
S0701,S0701_C03_056E,6916,int,,,,
S0701,S0701_C03_056M,6916,int,,,,
S0701,S0701_C04_056E,6916,int,,,,
S0701,S0701_C04_056M,6916,int,,,,
S0701,S0701_C05_056E,6916,int,,,,
S0701,S0701_C05_056M,6916,int,,,,
S0801,S0801_C01_052M,6916,float,,,,
S0801,S0801_C01_053M,6916,float,,,,
S0801,S0801_C01_054M,6916,float,,,,
S0801,S0801_C01_055M,6916,float,,,,
S0801,S0801_C01_056M,6916,float,,,,
S0801,S0801_C01_057M,6916,float,,,,
S0801,S0801_C02_052E,6916,int,,,,
S0801,S0801_C02_052M,6916,int,,,,
S0801,S0801_C02_053E,6916,int,,,,
S0801,S0801_C02_053M,6916,int,,,,
S0801,S0801_C02_054E,6916,int,,,,
S0801,S0801_C02_054M,6916,int,,,,
S0801,S0801_C02_055E,6916,int,,,,
S0801,S0801_C02_055M,6916,int,,,,
S0801,S0801_C02_056E,6916,int,,,,
S0801,S0801_C02_056M,6916,int,,,,
S0801,S0801_C02_057E,6916,int,,,,
S0801,S0801_C02_057M,6916,int,,,,
S0801,S0801_C03_052E,6916,int,,,,
S0801,S0801_C03_052M,6916,int,,,,
S0801,S0801_C03_053E,6916,int,,,,
S0801,S0801_C03_053M,6916,int,,,,
S0801,S0801_C03_054E,6916,int,,,,
S0801,S0801_C03_054M,6916,int,,,,
S0801,S0801_C03_055E,6916,int,,,,
S0801,S0801_C03_055M,6916,int,,,,
S0801,S0801_C03_056E,6916,int,,,,
S0801,S0801_C03_056M,6916,int,,,,
S0801,S0801_C03_057E,6916,int,,,,
S0801,S0801_C03_057M,6916,int,,,,
S0802,S0802_C01_098M,6916,float,,,,
S0802,S0802_C01_099M,6916,float,,,,
S0802,S0802_C01_100M,6916,float,,,,
