zipcode,acs zip,
90264,90265,False
91124,91202,False
91329,91340,False
92878,92882,False
90002,90002,True
90004,90004,True
90005,90005,True
90006,90006,True
90007,90007,True
90008,90008,True
90010,90010,True
90012,90012,True
90013,90013,True
90014,90014,True
90015,90015,True
90016,90016,True
90017,90017,True
90018,90018,True
90019,90019,True
90020,90020,True
90021,90021,True
90022,90022,True
90023,90023,True
90024,90024,True
90025,90025,True
90026,90026,True
90027,90027,True
90028,90028,True
90029,90029,True
90031,90031,True
90033,90033,True
90034,90034,True
90035,90035,True
90036,90036,True
90038,90038,True
90039,90039,True
90040,90040,True
90041,90041,True
90042,90042,True
90043,90043,True
90045,90045,True
90046,90046,True
90048,90048,True
90049,90049,True
90056,90056,True
90057,90057,True
90058,90058,True
90064,90064,True
90065,90065,True
90066,90066,True
90067,90067,True
90068,90068,True
90069,90069,True
90071,90071,True
90079,90079,True
90094,90094,True
90201,90201,True
90210,90210,True
90211,90211,True
90212,90212,True
90220,90220,True
90230,90230,True
90232,90232,True
90240,90240,True
90241,90241,True
90242,90242,True
90245,90245,True
90247,90247,True
90248,90248,True
90249,90249,True
90250,90250,True
90254,90254,True
90255,90255,True
90260,90260,True
90262,90262,True
90265,90266,True
90266,90272,True
90272,90274,True
90274,90275,True
90275,90277,True
90277,90278,True
90278,90280,True
90280,90290,True
90290,90291,True
90291,90292,True
90292,90293,True
90293,90301,True
90301,90302,True
90302,90303,True
90303,90304,True
90304,90401,True
90401,90402,True
90402,90403,True
90403,90404,True
90404,90405,True
90405,90501,True
90501,90502,True
90502,90503,True
90503,90504,True
90504,90505,True
90505,90601,True
90601,90602,True
90602,90603,True
90603,90604,True
90604,90605,True
90605,90606,True
90606,90620,True
90620,90621,True
90621,90623,True
90623,90630,True
90630,90631,True
90631,90638,True
90638,90640,True
90640,90650,True
90650,90660,True
90660,90670,True
90670,90680,True
90680,90701,True
90701,90703,True
90703,90706,True
90706,90710,True
90710,90712,True
90712,90717,True
90717,90720,True
90720,90723,True
90723,90731,True
90731,90732,True
90732,90740,True
90740,90744,True
90744,90745,True
90745,90746,True
90746,90755,True
90755,90802,True
90802,90803,True
90803,90804,True
90804,90806,True
90806,90807,True
90807,90808,True
90808,90810,True
90810,90813,True
90813,90815,True
90815,90831,True
90831,91001,True
91001,91006,True
91006,91007,True
91007,91010,True
91010,91011,True
91011,91016,True
91016,91020,True
91020,91024,True
91024,91030,True
91030,91040,True
91040,91042,True
91042,91101,True
91101,91103,True
91103,91104,True
91104,91105,True
91105,91106,True
91106,91107,True
91107,91108,True
91108,91201,True
91201,91203,True
91202,91204,True
91203,91205,True
91204,91206,True
91205,91207,True
91206,91208,True
91207,91210,True
91208,91214,True
91210,91301,True
91214,91302,True
91301,91303,True
91302,91304,True
91303,91306,True
91304,91307,True
91306,91311,True
91307,91316,True
91311,91320,True
91316,91321,True
91320,91324,True
91321,91325,True
91324,91326,True
91325,91331,True
91326,91335,True
91331,91342,True
91335,91343,True
91340,91344,True
91342,91345,True
91343,91350,True
91344,91351,True
91345,91352,True
91350,91355,True
91351,91356,True
91352,91360,True
91355,91361,True
91356,91362,True
91360,91364,True
91361,91367,True
91362,91381,True
91364,91387,True
91367,91401,True
91381,91402,True
91387,91403,True
91401,91405,True
91402,91406,True
91403,91411,True
91405,91423,True
91406,91436,True
91411,91501,True
91423,91502,True
91436,91504,True
91501,91505,True
91502,91506,True
91504,91601,True
91505,91602,True
91506,91604,True
91601,91605,True
91602,91606,True
91604,91607,True
91605,91701,True
91606,91702,True
91607,91706,True
91701,91709,True
91702,91710,True
91706,91711,True
91709,91722,True
91710,91723,True
91711,91724,True
91722,91730,True
91723,91731,True
91724,91732,True
91730,91733,True
91731,91739,True
91732,91740,True
91733,91741,True
91739,91744,True
91740,91745,True
91741,91746,True
91744,91748,True
91745,91750,True
91746,91754,True
91748,91761,True
91750,91762,True
91754,91763,True
91761,91764,True
91762,91765,True
91763,91766,True
91764,91767,True
91765,91768,True
91766,91770,True
91767,91773,True
91768,91775,True
91770,91776,True
91773,91786,True
91775,91789,True
91776,91790,True
91786,91791,True
91789,91792,True
91790,91801,True
91791,91803,True
91792,91901,True
91801,91902,True
91803,91910,True
91901,91911,True
91902,91914,True
91910,91932,True
91911,91941,True
91914,91942,True
91932,91945,True
91941,91950,True
91942,91977,True
91945,92007,True
91950,92008,True
91977,92009,True
92007,92010,True
92008,92011,True
92009,92014,True
92010,92019,True
92011,92020,True
92014,92021,True
92019,92024,True
92020,92025,True
92021,92026,True
92024,92027,True
92025,92028,True
92026,92029,True
92027,92037,True
92028,92040,True
92029,92054,True
92037,92056,True
92040,92058,True
92054,92064,True
92056,92065,True
92058,92067,True
92064,92069,True
92065,92071,True
92067,92075,True
92069,92078,True
92071,92081,True
92075,92083,True
92078,92084,True
92081,92091,True
92083,92101,True
92084,92102,True
92091,92103,True
92101,92104,True
92102,92105,True
92103,92106,True
92104,92107,True
92105,92108,True
92106,92109,True
92107,92110,True
92108,92111,True
92109,92115,True
92110,92116,True
92111,92117,True
92115,92118,True
92116,92119,True
92117,92120,True
92118,92121,True
92119,92122,True
92120,92123,True
92121,92124,True
92122,92126,True
92123,92127,True
92124,92128,True
92126,92130,True
92127,92131,True
92128,92154,True
92130,92173,True
92131,92201,True
92154,92203,True
92173,92210,True
92201,92211,True
92203,92220,True
92210,92231,True
92211,92234,True
92220,92240,True
92231,92243,True
92234,92253,True
92240,92260,True
92243,92262,True
92253,92264,True
92260,92270,True
92262,92284,True
92264,92307,True
92270,92308,True
92284,92311,True
92307,92313,True
92308,92315,True
92311,92316,True
92313,92320,True
92315,92324,True
92316,92335,True
92320,92344,True
92324,92345,True
92335,92346,True
92344,92373,True
92345,92374,True
92346,92376,True
92373,92392,True
92374,92394,True
92376,92395,True
92392,92399,True
92394,92401,True
92395,92404,True
92399,92405,True
92401,92408,True
92404,92501,True
92405,92503,True
92408,92504,True
92501,92505,True
92503,92506,True
92504,92507,True
92505,92508,True
92506,92509,True
92507,92518,True
92508,92530,True
92509,92543,True
92518,92544,True
92530,92545,True
92543,92553,True
92544,92557,True
92545,92562,True
92553,92563,True
92557,92583,True
92562,92590,True
92563,92591,True
92583,92592,True
92590,92595,True
92591,92602,True
92592,92604,True
92595,92606,True
92602,92610,True
92604,92612,True
92606,92614,True
92610,92617,True
92612,92618,True
92614,92620,True
92617,92624,True
92618,92625,True
92620,92626,True
92624,92627,True
92625,92629,True
92626,92630,True
92627,92637,True
92629,92646,True
92630,92647,True
92637,92648,True
92646,92649,True
92647,92651,True
92648,92653,True
92649,92656,True
92651,92660,True
92653,92663,True
92656,92672,True
92660,92673,True
92663,92675,True
92672,92677,True
92673,92683,True
92675,92688,True
92677,92691,True
92683,92692,True
92688,92694,True
92691,92701,True
92692,92703,True
92694,92704,True
92701,92705,True
92703,92706,True
92704,92707,True
92705,92708,True
92706,92780,True
92707,92801,True
92708,92802,True
92780,92804,True
92801,92805,True
92802,92806,True
92804,92807,True
92805,92808,True
92806,92821,True
92807,92831,True
92808,92832,True
92821,92833,True
92831,92835,True
92832,92840,True
92833,92841,True
92835,92843,True
92840,92844,True
92841,92845,True
92843,92860,True
92844,92865,True
92845,92866,True
92860,92867,True
92865,92868,True
92866,92869,True
92867,92870,True
92868,92879,True
92869,92880,True
92870,92881,True
92879,92883,True
92880,92886,True
92881,92887,True
92882,93001,True
92883,93003,True
92886,93004,True
92887,93010,True
93001,93012,True
93003,93013,True
93004,93021,True
93010,93023,True
93012,93030,True
93013,93033,True
93021,93035,True
93023,93036,True
93030,93041,True
93033,93060,True
93035,93063,True
93036,93065,True
93041,93066,True
93060,93101,True
93063,93103,True
93065,93105,True
93066,93108,True
93101,93109,True
93103,93110,True
93105,93111,True
93108,93117,True
93109,93215,True
93110,93221,True
93111,93230,True
93117,93257,True
93215,93274,True
93221,93277,True
93230,93291,True
93257,93292,True
93274,93301,True
93277,93304,True
93291,93308,True
93292,93309,True
93301,93311,True
93304,93312,True
93308,93313,True
93309,93401,True
93311,93402,True
93312,93405,True
93313,93407,True
93401,93410,True
93402,93420,True
93405,93422,True
93407,93427,True
93410,93433,True
93420,93436,True
93422,93441,True
93427,93442,True
93433,93444,True
93436,93445,True
93441,93446,True
93442,93449,True
93444,93454,True
93445,93455,True
93446,93458,True
93449,93463,True
93454,93465,True
93455,93534,True
93458,93535,True
93463,93550,True
93465,93551,True
93534,93555,True
93535,93561,True
93550,93611,True
93551,93612,True
93555,93644,True
93561,93650,True
93611,93654,True
93612,93662,True
93644,93703,True
93650,93704,True
93654,93705,True
93662,93710,True
93703,93711,True
93704,93720,True
93705,93721,True
93710,93722,True
93711,93726,True
93720,93727,True
93721,93728,True
93722,93730,True
93726,93901,True
93727,93905,True
93728,93906,True
93730,93907,True
93901,93908,True
93905,93923,True
93906,93933,True
93907,93940,True
93908,93950,True
93923,93955,True
93933,94002,True
93940,94005,True
93950,94010,True
93955,94014,True
94002,94015,True
94005,94018,True
94010,94019,True
94014,94022,True
94015,94024,True
94018,94025,True
94019,94028,True
94022,94030,True
94024,94040,True
94025,94041,True
94028,94043,True
94030,94044,True
94040,94061,True
94041,94062,True
94043,94063,True
94044,94065,True
94061,94066,True
94062,94070,True
94063,94080,True
94065,94085,True
94066,94086,True
94070,94087,True
94080,94089,True
94085,94102,True
94086,94103,True
94087,94104,True
94089,94105,True
94102,94107,True
94103,94108,True
94104,94109,True
94105,94110,True
94107,94111,True
94108,94115,True
94109,94116,True
94110,94118,True
94111,94121,True
94115,94122,True
94116,94123,True
94118,94124,True
94121,94129,True
94122,94132,True
94123,94133,True
94124,94134,True
94129,94158,True
94132,94301,True
94133,94303,True
94134,94304,True
94158,94306,True
94301,94401,True
94303,94402,True
94304,94403,True
94306,94404,True
94401,94501,True
94402,94502,True
94403,94503,True
94404,94506,True
94501,94507,True
94502,94509,True
94503,94510,True
94506,94513,True
94507,94517,True
94509,94518,True
94510,94519,True
94513,94520,True
94517,94521,True
94518,94523,True
94519,94526,True
94520,94530,True
94521,94531,True
94523,94533,True
94526,94534,True
94530,94536,True
94531,94538,True
94533,94539,True
94534,94541,True
94536,94544,True
94538,94545,True
94539,94546,True
94541,94547,True
94544,94549,True
94545,94550,True
94546,94551,True
94547,94553,True
94549,94556,True
94550,94558,True
94551,94559,True
94553,94560,True
94556,94563,True
94558,94564,True
94559,94565,True
94560,94566,True
94563,94568,True
94564,94577,True
94565,94578,True
94566,94580,True
94568,94583,True
94577,94585,True
94578,94587,True
94580,94588,True
94583,94590,True
94585,94596,True
94587,94597,True
94588,94598,True
94590,94601,True
94596,94602,True
94597,94605,True
94598,94606,True
94601,94607,True
94602,94608,True
94605,94609,True
94606,94610,True
94607,94611,True
94608,94612,True
94609,94618,True
94610,94621,True
94611,94702,True
94612,94703,True
94618,94704,True
94621,94705,True
94702,94706,True
94703,94707,True
94704,94709,True
94705,94710,True
94706,94720,True
94707,94801,True
94709,94803,True
94710,94804,True
94720,94806,True
94801,94901,True
94803,94903,True
94804,94904,True
94806,94920,True
94901,94925,True
94903,94928,True
94904,94930,True
94920,94938,True
94925,94939,True
94928,94941,True
94930,94945,True
94938,94947,True
94939,94949,True
94941,94952,True
94945,94954,True
94947,94957,True
94949,94960,True
94952,94965,True
94954,95002,True
94957,95003,True
94960,95008,True
94965,95010,True
95002,95012,True
95003,95014,True
95008,95018,True
95010,95019,True
95012,95020,True
95014,95023,True
95018,95030,True
95019,95032,True
95020,95035,True
95023,95037,True
95030,95050,True
95032,95051,True
95035,95054,True
95037,95060,True
95050,95062,True
95051,95066,True
95054,95070,True
95060,95073,True
95062,95076,True
95066,95110,True
95070,95112,True
95073,95113,True
95076,95117,True
95110,95118,True
95112,95119,True
95113,95120,True
95117,95121,True
95118,95123,True
95119,95124,True
95120,95125,True
95121,95126,True
95123,95128,True
95124,95129,True
95125,95131,True
95126,95132,True
95128,95134,True
95129,95135,True
95131,95138,True
95132,95202,True
95134,95203,True
95135,95204,True
95138,95207,True
95202,95210,True
95203,95219,True
95204,95240,True
95207,95249,True
95210,95304,True
95219,95307,True
95240,95330,True
95249,95336,True
95304,95337,True
95307,95340,True
95330,95348,True
95336,95350,True
95337,95351,True
95340,95354,True
95348,95355,True
95350,95356,True
95351,95361,True
95354,95366,True
95355,95367,True
95356,95368,True
95361,95370,True
95366,95376,True
95367,95377,True
95368,95380,True
95370,95382,True
95376,95383,True
95377,95401,True
95380,95403,True
95382,95404,True
95383,95405,True
95401,95407,True
95403,95409,True
95404,95425,True
95405,95448,True
95407,95472,True
95409,95476,True
95425,95482,True
95448,95492,True
95472,95501,True
95476,95521,True
95482,95531,True
95492,95602,True
95501,95603,True
95521,95605,True
95531,95608,True
95602,95610,True
95603,95616,True
95605,95618,True
95608,95619,True
95610,95621,True
95616,95624,True
95618,95628,True
95619,95630,True
95621,95648,True
95624,95650,True
95628,95655,True
95630,95660,True
95648,95661,True
95650,95662,True
95655,95667,True
95660,95670,True
95661,95677,True
95662,95678,True
95667,95682,True
95670,95687,True
95677,95688,True
95678,95691,True
95682,95695,True
95687,95713,True
95688,95742,True
95691,95746,True
95695,95747,True
95713,95758,True
95742,95762,True
95746,95765,True
95747,95811,True
95758,95814,True
95762,95815,True
95765,95816,True
95811,95817,True
95814,95818,True
95815,95819,True
95816,95820,True
95817,95821,True
95818,95822,True
95819,95823,True
95820,95824,True
95821,95825,True
95822,95826,True
95823,95827,True
95824,95828,True
95825,95831,True
95826,95833,True
95827,95834,True
95828,95841,True
95831,95864,True
95833,95901,True
95834,95926,True
95841,95928,True
95864,95945,True
95901,95946,True
95926,95949,True
95928,95959,True
95945,95966,True
95946,95973,True
95949,95991,True
95959,95993,True
95966,96001,True
95973,96002,True
95991,96003,True
95993,96145,True
96001,96150,True
96002,96161,True
96003,,True
96145,,True
96150,,True
96161,,True
