2015_ID,2016_ID,2017_ID,2018_ID,2019_ID,2020_ID,2021_ID,2022_ID
S0101_C01_001E,S0101_C01_001E,S0101_C01_001E,S0101_C01_001E,S0101_C01_001E,S0101_C01_001E,S0101_C01_001E,S0101_C01_001E
S0101_C01_001M,S0101_C01_001M,S0101_C01_001M,S0101_C01_001M,S0101_C01_001M,S0101_C01_001M,S0101_C01_001M,S0101_C01_001M
S0101_C01_002E,S0101_C01_002E,S0101_C02_002E,S0101_C02_002E,S0101_C02_002E,S0101_C02_002E,S0101_C02_002E,S0101_C02_002E
S0101_C01_002M,S0101_C01_002M,S0101_C02_002M,S0101_C02_002M,S0101_C02_002M,S0101_C02_002M,S0101_C02_002M,S0101_C02_002M
S0101_C01_003E,S0101_C01_003E,S0101_C02_003E,S0101_C02_003E,S0101_C02_003E,S0101_C02_003E,S0101_C02_003E,S0101_C02_003E
S0101_C01_003M,S0101_C01_003M,S0101_C02_003M,S0101_C02_003M,S0101_C02_003M,S0101_C02_003M,S0101_C02_003M,S0101_C02_003M
S0101_C01_004E,S0101_C01_004E,S0101_C02_004E,S0101_C02_004E,S0101_C02_004E,S0101_C02_004E,S0101_C02_004E,S0101_C02_004E
S0101_C01_004M,S0101_C01_004M,S0101_C02_004M,S0101_C02_004M,S0101_C02_004M,S0101_C02_004M,S0101_C02_004M,S0101_C02_004M
S0101_C01_005E,S0101_C01_005E,S0101_C02_005E,S0101_C02_005E,S0101_C02_005E,S0101_C02_005E,S0101_C02_005E,S0101_C02_005E
S0101_C01_005M,S0101_C01_005M,S0101_C02_005M,S0101_C02_005M,S0101_C02_005M,S0101_C02_005M,S0101_C02_005M,S0101_C02_005M
S0101_C01_006E,S0101_C01_006E,S0101_C02_006E,S0101_C02_006E,S0101_C02_006E,S0101_C02_006E,S0101_C02_006E,S0101_C02_006E
S0101_C01_006M,S0101_C01_006M,S0101_C02_006M,S0101_C02_006M,S0101_C02_006M,S0101_C02_006M,S0101_C02_006M,S0101_C02_006M
S0101_C01_007E,S0101_C01_007E,S0101_C02_007E,S0101_C02_007E,S0101_C02_007E,S0101_C02_007E,S0101_C02_007E,S0101_C02_007E
S0101_C01_007M,S0101_C01_007M,S0101_C02_007M,S0101_C02_007M,S0101_C02_007M,S0101_C02_007M,S0101_C02_007M,S0101_C02_007M
S0101_C01_008E,S0101_C01_008E,S0101_C02_008E,S0101_C02_008E,S0101_C02_008E,S0101_C02_008E,S0101_C02_008E,S0101_C02_008E
S0101_C01_008M,S0101_C01_008M,S0101_C02_008M,S0101_C02_008M,S0101_C02_008M,S0101_C02_008M,S0101_C02_008M,S0101_C02_008M
S0101_C01_009E,S0101_C01_009E,S0101_C02_009E,S0101_C02_009E,S0101_C02_009E,S0101_C02_009E,S0101_C02_009E,S0101_C02_009E
S0101_C01_009M,S0101_C01_009M,S0101_C02_009M,S0101_C02_009M,S0101_C02_009M,S0101_C02_009M,S0101_C02_009M,S0101_C02_009M
S0101_C01_010E,S0101_C01_010E,S0101_C02_010E,S0101_C02_010E,S0101_C02_010E,S0101_C02_010E,S0101_C02_010E,S0101_C02_010E
